model,dataset_split_method,seed,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,roc_auc_ovr,specificity_macro,total_params,quantum_parameters,qubits,circuit_depth,training_time_sec,inference_time_sec
gnn_hybrid,patient_level,42,0.3096446700507614,0.07741116751269035,0.25,0.1182170542635659,0.14642112304725927,0.46300474372063755,0.75,2504,8,4,4,8.439948320388794,2.859736919403076
gnn_hybrid,patient_level,1,0.22842639593908629,0.05710659898477157,0.25,0.09297520661157024,0.0849519654318916,0.38830992364739686,0.75,2504,8,4,4,8.283262014389038,2.8538196086883545
gnn_hybrid,patient_level,7,0.22842639593908629,0.05710659898477157,0.25,0.09297520661157024,0.0849519654318916,0.5358002037153382,0.75,2504,8,4,4,8.041249513626099,2.7769405841827393
hybrid,stratified_image_level,42,0.43707093821510296,0.33254273193199047,0.472962962962963,0.32843841026703813,0.3079747622281804,0.7586566682366886,0.8165859248963193,2244520,8,4,4,268.8747079372406,13.202958106994629
hybrid,stratified_image_level,1,0.6430205949656751,0.4872939215170143,0.6387654320987655,0.5462094456474272,0.5591784238934258,0.8369964036999443,0.8814644866730861,2244520,8,4,4,175.44341444969177,7.545128345489502
hybrid,stratified_image_level,7,0.631578947368421,0.5480459806642102,0.6198202614379085,0.5515771698311837,0.5667313127596306,0.807362114471227,0.8772524666153775,2244520,8,4,4,157.5856592655182,4.520000696182251
gnn_hybrid,stratified_image_level,7,0.36613272311212813,0.35756675865459103,0.3884204793028323,0.34274248528435547,0.3292254565784841,0.6603357498991743,0.7917743948717904,2504,8,4,4,222.99785733222961,18.558073043823242
hybrid,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.5746527777777777,0.75,2244464,2,2,2,17.070045948028564,0.15900444984436035
hybrid,patient_level,1,0.25,0.0625,0.25,0.1,0.10000000000000002,0.8211805555555556,0.75,2244464,2,2,2,14.776693344116211,0.14400410652160645
hybrid,patient_level,7,0.22916666666666666,0.06547619047619048,0.22916666666666666,0.10185185185185185,0.10185185185185185,0.4722222222222222,0.7430555555555556,2244464,2,2,2,15.546552181243896,0.14400005340576172
hybrid,patient_level,42,0.25,0.0625,0.25,0.1,0.10000000000000002,0.5746527777777777,0.75,2244464,2,2,1,15.30005145072937,0.1399998664855957
hybrid,patient_level,1,0.25,0.0625,0.25,0.1,0.10000000000000002,0.8211805555555556,0.75,2244464,2,2,1,15.250916719436646,0.1419992446899414
mobilenet_v2,stratified_image_level,42,0.9720605355064028,0.9731080874484024,0.9710643631505891,0.9719032353383865,0.9720990870730999,0.9972496070058721,0.9905998842567507,2228996,0,0,0,642.9063971042633,3.7701966762542725
hybrid,stratified_image_level,42,0.729918509895227,0.5652697927895556,0.728628174747843,0.6323537827338594,0.6318797745922892,0.9552361561987314,0.9088707865026793,2244520,8,4,4,507.30531001091003,4.334424734115601
hybrid,stratified_image_level,42,0.7357392316647264,0.562872251347022,0.7125718966246134,0.6250731320958831,0.6485018376047444,0.9619485354537967,0.9120121275701846,2265364,24,8,6,799.3744602203369,4.405999422073364
hybrid,stratified_image_level,42,0.959254947613504,0.9597640610024512,0.9576370025964511,0.9582512985071525,0.9594712519487166,0.9846345816384456,0.9864890707436593,2265492,24,8,6,802.382354259491,5.039508581161499
hybrid,stratified_image_level,42,0.959254947613504,0.9597640610024512,0.9576370025964511,0.9582512985071525,0.9594712519487166,0.9846345816384456,0.9864890707436593,2265492,24,8,6,680.4705758094788,3.874295473098755
hybrid,stratified_image_level,1,0.940628637951106,0.9424822539861906,0.9389103762201352,0.9402797806678981,0.9409495507382782,0.9904120344600613,0.9801266045334847,2265492,24,8,6,688.4310631752014,4.293478012084961
hybrid,stratified_image_level,7,0.7578579743888242,0.6212799294123165,0.7350711595799123,0.6592903110047846,0.6826730180303122,0.935373756013606,0.9194563918807264,2265492,24,8,6,689.7916631698608,3.8680009841918945
hybrid,stratified_image_level,7,0.7485448195576252,0.6051500847252481,0.7255828215739937,0.6493910284469699,0.6728334411677142,0.9314845303495876,0.9163502856776353,2265492,24,8,6,642.5137100219727,4.942315578460693
